timestamp,program,flag,return_code,execution_time,pkg_energy,dram_energy,user_time,sys_time,total_time,cpu_percent,avg_text,avg_data,peak_rss,inputs,outputs,minor_pagefaults,major_pagefaults,swaps,alloc_mem,reclaimed_mem,rts_mem,total_gcs,minor_gcs,major_gcs,avg_mem,max_mem,n_samples,init_cpu,init_sys,mut_cpu,mut_sys,total_gc_cpu,total_gc_sys,minor_gc_cpu,minor_gc_sys,major_gc_cpu,major_gc_sys,balance
1686553784,circsim,-O2,0,236685.28,1631649.0,49743.0,0.21,0.00,0.21,100,0,0,6728,0,8,0,966,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.116,0.097,0.097,0.089,0.090,0.008,0.008,1
1686553785,circsim,-O2,0,237075.601,1620968.0,49255.0,0.21,0.00,0.21,99,0,0,6724,0,8,0,969,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.117,0.097,0.098,0.090,0.090,0.008,0.008,1
1686553786,circsim,-O2,0,235861.883,1634822.0,50537.0,0.20,0.00,0.21,99,0,0,6612,0,8,0,966,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.116,0.097,0.097,0.089,0.090,0.007,0.008,1
1686553788,circsim,-O2,0,236694.074,1644405.0,52612.0,0.21,0.00,0.21,99,0,0,6504,0,8,0,965,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.118,0.117,0.097,0.098,0.089,0.090,0.008,0.008,1
1686553790,circsim,-O2,0,236507.303,1633785.0,50293.0,0.21,0.00,0.21,100,0,0,6752,0,8,0,965,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.118,0.117,0.096,0.097,0.089,0.089,0.008,0.008,1
1686553794,circsim,-O2,0,237675.949,1657772.0,50782.0,0.21,0.00,0.21,99,0,0,6720,0,8,0,967,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.117,0.097,0.098,0.089,0.090,0.008,0.008,1
1686553796,circsim,-O2,0,236015.059,1640743.0,50049.0,0.21,0.00,0.21,99,0,0,6716,0,8,0,965,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.116,0.097,0.097,0.089,0.090,0.008,0.008,1
1686553797,circsim,-O2,0,236330.757,1627315.0,49378.0,0.21,0.00,0.21,100,0,0,6624,0,8,0,970,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.116,0.096,0.097,0.089,0.089,0.007,0.008,1
1686553800,circsim,-O2,0,235776.98,1642452.0,47912.0,0.20,0.00,0.21,100,0,0,6724,0,8,0,967,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.117,0.096,0.097,0.089,0.089,0.008,0.008,1
1686553802,circsim,-O2,0,236908.726,1655757.0,50293.0,0.21,0.00,0.21,99,0,0,6660,0,8,0,968,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.117,0.097,0.098,0.089,0.090,0.008,0.008,1
1686553808,circsim,-O2,0,278081.242,1520260.0,54077.0,0.24,0.00,0.25,99,0,0,6500,0,8,0,964,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.140,0.139,0.115,0.116,0.106,0.107,0.009,0.009,1
1686553818,circsim,-O2,0,271500.22,1504024.0,53588.0,0.23,0.01,0.24,100,0,0,6716,0,8,0,966,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.135,0.134,0.112,0.113,0.103,0.104,0.009,0.009,1
1686553820,circsim,-O2,0,236572.638,1635677.0,49988.0,0.20,0.01,0.21,100,0,0,6512,0,8,0,964,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.118,0.117,0.097,0.097,0.089,0.090,0.008,0.008,1
1686553830,circsim,-O2,0,268411.181,1512936.0,53284.0,0.24,0.00,0.24,99,0,0,6756,0,8,0,968,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.133,0.132,0.110,0.111,0.102,0.102,0.009,0.009,1
1686553838,circsim,-O2,0,235852.381,1675106.0,50720.0,0.20,0.00,0.21,100,0,0,6716,0,8,0,968,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.116,0.096,0.097,0.089,0.089,0.008,0.008,1
1686553839,circsim,-O2,0,234924.81,1649166.0,50232.0,0.20,0.00,0.21,99,0,0,6620,0,8,0,969,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.116,0.096,0.097,0.089,0.089,0.008,0.008,1
1686553844,circsim,-O2,0,239500.448,1605648.0,49866.0,0.21,0.00,0.21,100,0,0,6568,0,8,0,966,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.118,0.117,0.097,0.098,0.089,0.090,0.008,0.008,1
1686553851,circsim,-O2,0,236674.715,1682491.0,51147.0,0.21,0.00,0.21,100,0,0,6724,0,8,0,967,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.117,0.097,0.097,0.089,0.090,0.008,0.008,1
1686553852,circsim,-O2,0,236779.941,1672298.0,50171.0,0.21,0.00,0.21,99,0,0,6664,0,8,0,965,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.117,0.097,0.097,0.089,0.090,0.008,0.008,1
1686553856,circsim,-O2,0,240477.325,1608395.0,50720.0,0.20,0.00,0.21,99,0,0,6724,0,8,0,967,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.119,0.118,0.097,0.098,0.090,0.090,0.008,0.008,1
1686553863,circsim,-fno-case-merge,0,235036.48,1658565.0,48035.0,0.20,0.00,0.21,99,0,0,6352,0,8,0,963,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.116,0.096,0.097,0.089,0.090,0.007,0.007,1
