timestamp,program,flag,return_code,execution_time,pkg_energy,dram_energy,user_time,sys_time,total_time,cpu_percent,avg_text,avg_data,peak_rss,inputs,outputs,minor_pagefaults,major_pagefaults,swaps,alloc_mem,reclaimed_mem,rts_mem,total_gcs,minor_gcs,major_gcs,avg_mem,max_mem,n_samples,init_cpu,init_sys,mut_cpu,mut_sys,total_gc_cpu,total_gc_sys,minor_gc_cpu,minor_gc_sys,major_gc_cpu,major_gc_sys,balance
1686259603,circsim,-O2,0,240694.8,1556087.0,46936.0,0.21,0.00,0.21,100,0,0,6500,0,8,0,968,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.116,0.097,0.097,0.089,0.090,0.008,0.008,1
1686259604,circsim,-O2,0,235869.44,1547237.0,46997.0,0.21,0.00,0.21,99,0,0,6720,0,8,0,967,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.116,0.097,0.097,0.089,0.090,0.008,0.008,1
1686259605,circsim,-O2,0,237204.081,1555171.0,49805.0,0.21,0.00,0.21,99,0,0,6696,0,8,0,968,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.118,0.118,0.097,0.098,0.089,0.090,0.008,0.008,1
1686259606,circsim,-O2,0,237016.643,1562679.0,49438.0,0.20,0.00,0.21,100,0,0,6696,0,8,0,972,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.118,0.117,0.097,0.098,0.090,0.090,0.008,0.008,1
1686259607,circsim,-O2,0,236335.448,1566219.0,50842.0,0.21,0.00,0.21,100,0,0,6504,0,8,0,964,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.118,0.117,0.097,0.097,0.089,0.090,0.008,0.008,1
1686259618,circsim,-O2,0,253281.079,1465877.0,50293.0,0.23,0.00,0.23,100,0,0,6672,0,8,0,968,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.126,0.126,0.104,0.105,0.096,0.097,0.008,0.008,1
1686259619,circsim,-O2,0,235321.659,1568599.0,49316.0,0.21,0.00,0.21,99,0,0,6712,0,8,0,967,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.116,0.096,0.097,0.089,0.090,0.007,0.007,1
1686259631,circsim,-O2,0,252646.97,1505062.0,55908.0,0.22,0.00,0.23,100,0,0,6624,0,8,0,969,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.125,0.125,0.103,0.104,0.095,0.096,0.008,0.008,1
1686259645,circsim,-O2,0,252960.138,1487301.0,52063.0,0.21,0.01,0.23,100,0,0,6688,0,8,0,969,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.125,0.125,0.104,0.104,0.095,0.096,0.008,0.008,1
1686259651,circsim,-O2,0,235729.425,1591061.0,49378.0,0.21,0.00,0.21,100,0,0,6568,0,8,0,967,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.117,0.096,0.097,0.089,0.089,0.008,0.008,1
